ID	Population	Site	Depth	Est_K	P1	P2	P3	P4	group	relatedness	mean_IBD_length.kb	N50_IBD_Length.kb	Mean_IBD_goodness	cluster	year	eff_k
PH0461-C	West_Cambodia	Pursat	73.39	4	0.02	0.25	0.66	0.07	Asia1	0.434453541346123	NA	NA	NA	NA	2010	1.98649185538339
PH0462-C	West_Cambodia	Pursat	72.18	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0463-C	West_Cambodia	Pursat	96.69	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0464-CW	West_Cambodia	Pursat	153.68	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0465-CW	West_Cambodia	Pursat	46.35	3	0.58	0	0.15	0.27	Asia1	0.340196362650555	138.945246376812	413.657	0.663113257576048	Other	2010	2.31588698471515
PH0466-C	West_Cambodia	Pursat	70.27	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0467-CW	West_Cambodia	Pursat	29.73	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0468-C	West_Cambodia	Pursat	64.12	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0469-CW	West_Cambodia	Pursat	113.17	2	0.66	0	0.34	0	Asia1	0.769152565218896	285.992512820513	851.975	0.919329179854978	HighSib	2010	1.81422351233672
PH0470-C	West_Cambodia	Pursat	67.7	2	0.85	0	0	0.15	Asia1	0.939963265520027	530.823909090909	758.834	0.95601784382446	HighSib	2010	1.34228187919463
PH0471-C	West_Cambodia	Pursat	98.96	2	0.78	0	0.22	0	Asia1	0.800787444190964	345.666540540541	720.826	0.912941551397725	HighSib	2010	1.52253349573691
PH0472-C	West_Cambodia	Pursat	84.97	3	0.65	0.11	0	0.23	Asia1	0.829619483712516	357.061460176991	680.975	0.850087070837792	HighSib	2010	2.05128205128205
PH0473-C	West_Cambodia	Pursat	82.46	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0474-CW	West_Cambodia	Pursat	53.26	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0475-C	West_Cambodia	Pursat	63.4	3	0.63	0.32	0	0.05	Asia1	0.864383371959328	335.172431372549	823.416	0.832858391558179	HighSib	2010	1.99282582702272
PH0477-C	West_Cambodia	Pursat	69.21	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0478-C	West_Cambodia	Pursat	87.39	3	0	0.09	0.59	0.32	Asia1	0.398894379150629	247.64804494382	815.181	0.854247763510696	Sib	2010	2.18054949847362
PH0479-CW	West_Cambodia	Pursat	167.21	2	0.9	0.1	0	0	Asia1	0.821080989732444	375.084175	753.385	0.917758715808342	HighSib	2010	1.21951219512195
PH0480-C	West_Cambodia	Pursat	59.6	2	0.83	0.17	0	0	Asia1	0.870408070474056	359.721853658537	730.852	0.935832607768195	HighSib	2010	1.39314572304263
PH0481-C	West_Cambodia	Pursat	63.54	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0482-C	West_Cambodia	Pursat	71.94	1	0	0	1	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0483-CW	West_Cambodia	Pursat	205.68	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0484-C	West_Cambodia	Pursat	79.34	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0485-C	West_Cambodia	Pursat	85.75	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0486-C	West_Cambodia	Pursat	78.53	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0487-C	West_Cambodia	Pursat	70.27	2	0.95	0	0	0.05	Asia1	0.820876098332524	298.51075	1153.33	0.875754893821813	HighSib	2011	1.10497237569061
PH0488-C	West_Cambodia	Pursat	76.48	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0489-C	West_Cambodia	Pursat	86.59	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0490-C	West_Cambodia	Pursat	58.78	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0494-CW	West_Cambodia	Pursat	143.5	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2009	1
PH0495-CW	West_Cambodia	Pursat	89.13	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2009	1
PH0496-CW	West_Cambodia	Pursat	114.88	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2009	1
